work_id	workno	score	matched_field
4	VJ013550	1.00	ja
6	VJ013975	1.00	ja
8	VJ013197	1.00	ja
10	RJ297925	1.00	ja
12	VJ014002	1.00	ja
13	VJ002337	1.00	ja
16	VJ015422	1.00	ja
17	VJ013906	1.00	ja
28	VJ013367	1.00	ja
29	VJ011419	1.00	ja
34	VJ014408	1.00	ja
35	VJ014408	1.00	ja
36	VJ014408	1.00	ja
37	VJ014408	1.00	ja
38	VJ014408	1.00	ja
40	VJ011359	1.00	ja
41	VJ015604	1.00	ja
48	VJ011358	1.00	ja
50	VJ011031	1.00	ja
60	VJ006119	1.00	en
65	VJ006855	1.00	ja
66	VJ007437	1.00	ja
67	VJ009474	1.00	ja
68	VJ011525	1.00	ja
69	VJ013692	1.00	ja
76	RJ215863	1.00	ja
77	VJ008661	1.00	ja
78	RJ243732	1.00	ja
85	VJ010348	1.00	en
87	VJ012658	1.00	en
89	VJ012243	1.00	ja
90	VJ010018	1.00	ja
91	VJ011306	1.00	ja
94	RJ144678	1.00	alias
95	RJ170327	1.00	ja
96	RJ200500	1.00	ja
97	RJ307838	0.95	ja
104	VJ009683	1.00	ja
107	VJ005834	1.00	ja
109	RJ083753	1.00	ja
111	RJ081727	1.00	ja
113	VJ008455	1.00	en
114	VJ007197	1.00	en
116	VJ008347	1.00	ja
121	VJ009030	1.00	en
128	RJ170438	1.00	ja
136	RJ033572	1.00	ja
138	VJ007865	1.00	ja
140	VJ013777	1.00	ja
141	VJ010347	1.00	alias
142	VJ015744	1.00	ja
146	VJ009212	1.00	ja
151	RJ192524	1.00	ja
152	RJ275492	1.00	ja
153	RJ148522	1.00	ja
154	RJ181679	1.00	ja
155	RJ382027	1.00	ja
156	RJ243999	1.00	ja
157	RJ217278	1.00	ja
158	VJ007528	1.00	ja
161	RJ393720	1.00	alias
163	VJ004186	1.00	ja
165	VJ002705	1.00	en
166	VJ004167	1.00	zh
168	VJ005294	1.00	en
175	VJ011316	1.00	ja
176	VJ011647	1.00	ja
179	RJ01058914	1.00	alias
191	VJ013421	1.00	en
192	VJ014144	1.00	en
194	VJ009644	1.00	ja
195	VJ014985	1.00	en
196	VJ010327	1.00	ja
197	VJ014687	1.00	ja
198	VJ014860	1.00	en
200	VJ004651	1.00	alias
204	VJ014636	1.00	en
212	RJ038541	1.00	ja
213	VJ010584	1.00	ja
229	VJ013213	1.00	ja
230	VJ012917	1.00	ja
232	VJ006748	1.00	ja
236	VJ009104	1.00	alias
241	VJ012525	1.00	ja
245	RJ246645	1.00	en
253	VJ007330	1.00	ja
256	VJ009819	1.00	ja
259	VJ010744	1.00	en
260	RJ258362	1.00	ja
270	VJ007647	1.00	ja
271	VJ008868	1.00	ja
274	VJ012598	1.00	alias
275	VJ013405	1.00	alias
276	VJ008725	1.00	zh
280	VJ010255	1.00	ja
283	VJ011317	1.00	ja
284	VJ010262	1.00	ja
289	VJ013115	1.00	en
291	VJ010894	0.73	en
296	VJ014134	1.00	ja
298	VJ015652	1.00	ja
300	VJ013684	1.00	alias
302	VJ011289	1.00	alias
304	VJ011385	1.00	ja
309	VJ003455	1.00	ja
311	VJ012131	1.00	ja
316	VJ009940	1.00	en
320	RJ427484	1.00	ja
321	RJ01143540	1.00	ja
323	RJ082981	1.00	ja
325	VJ007851	1.00	ja
326	RJ153310	1.00	ja
332	RJ01063798	1.00	ja
334	RJ01106142	1.00	ja
335	VJ013711	1.00	alias
336	VJ014778	1.00	ja
338	VJ010335	1.00	ja
342	VJ010252	1.00	ja
353	VJ009524	1.00	ja
355	VJ014684	0.96	alias
356	RJ216322	1.00	ja
359	RJ190066	1.00	ja
360	RJ040728	1.00	ja
361	RJ065609	1.00	ja
362	RJ088519	1.00	ja
363	RJ059169	1.00	ja
366	VJ013433	1.00	ja
369	RJ395199	1.00	ja
370	VJ008384	1.00	ja
371	VJ013699	1.00	ja
377	VJ015378	1.00	alias
379	VJ008030	1.00	ja
382	VJ012519	1.00	ja
386	VJ010828	0.95	ja
388	RJ270440	1.00	ja
391	RJ059910	1.00	ja
392	VJ006554	1.00	en
393	VJ006555	1.00	en
394	VJ006763	1.00	en
395	VJ003644	1.00	ja
396	VJ003918	1.00	ja
397	VJ011387	1.00	ja
399	VJ006603	1.00	ja
400	VJ005001	1.00	ja
401	VJ008114	1.00	ja
402	VJ014786	1.00	ja
404	VJ004478	1.00	ja
406	VJ006891	1.00	ja
409	VJ008731	1.00	ja
412	RJ240346	1.00	ja
414	VJ009986	1.00	ja
417	VJ012637	1.00	zh
418	VJ013834	0.75	zh
419	VJ007731	1.00	zh
420	VJ011275	1.00	zh
421	VJ010863	1.00	zh
422	VJ008761	1.00	zh
423	VJ006538	1.00	ja
427	VJ013027	1.00	ja
428	VJ014037	1.00	ja
429	VJ015249	1.00	ja
436	VJ012176	1.00	ja
437	VJ012868	1.00	ja
442	VJ010082	1.00	ja
448	VJ011969	1.00	ja
453	VJ012614	1.00	ja
455	VJ011945	1.00	ja
456	VJ010715	1.00	ja
457	VJ014118	1.00	ja
459	VJ005187	1.00	ja
460	VJ011474	1.00	ja
461	VJ008809	0.98	ja
462	VJ006276	1.00	ja
464	RJ026196	1.00	ja
466	VJ015476	1.00	ja
468	VJ010567	1.00	ja
470	VJ013406	1.00	ja
471	VJ014380	1.00	ja
472	VJ015576	1.00	ja
473	VJ014649	1.00	ja
475	VJ008729	1.00	ja
476	VJ009824	1.00	ja
477	VJ009823	1.00	ja
481	RJ271624	1.00	ja
482	RJ369269	1.00	ja
483	RJ299486	1.00	zh
484	RJ280218	1.00	zh
485	RJ309243	1.00	ja
486	RJ317111	1.00	ja
487	RJ336790	1.00	zh
488	RJ327176	1.00	ja
497	RJ197770	1.00	ja
498	VJ014580	1.00	ja
